No filters applied,,,,,,,,,,,
,,,,,,,,,,,
Device Platform,App Launch Count,Tenant Id,App Id,Aggregation Date,Location Country/Region,Location State,Location City,Player Version,ConcatLocation,Device Platform ,Date
macintosh-webplayer,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/15/2025,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,macintosh-webplayer,1/15/2025
windows-webplayer,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/15/2025,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,1/15/2025
windows-webplayer,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/19/2025,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,1/19/2025
windows-webplayer,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/20/2025,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,1/20/2025
windows-webplayer,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/21/2025,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,1/21/2025
windows-webplayer,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/24/2025,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,1/24/2025
windows-webplayer,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/25/2025,Australia,Not available,Not available,3.25012,Australia$$Not available$$Not available,windows-webplayer,1/25/2025
windows-webplayer,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/27/2025,Australia,Not available,Not available,3.25012,Australia$$Not available$$Not available,windows-webplayer,1/27/2025
windows-webplayer,2,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/20/2025,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,1/20/2025
windows-webplayer,2,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/28/2025,Australia,Not available,Not available,3.25012,Australia$$Not available$$Not available,windows-webplayer,1/28/2025
windows-webplayer,3,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/7/2025,Australia,Not available,Not available,3.24121,Australia$$Not available$$Not available,windows-webplayer,1/7/2025
windows-webplayer,3,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/14/2025,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,1/14/2025
windows-webplayer,3,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/16/2025,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,1/16/2025
windows-webplayer,3,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/23/2025,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,1/23/2025
windows-webplayer,4,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/13/2025,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,1/13/2025
windows-webplayer,4,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/17/2025,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,1/17/2025
windows-webplayer,4,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/22/2025,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,1/22/2025
windows-webplayer,6,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/10/2025,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,1/10/2025
windows-webplayer,38,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,1/21/2025,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,1/21/2025
